id,created_at,last_modified,display_date,reposts_count,playback_count,likes_count,duration,artwork_url,permalink_url,title,description
337393907,2017-08-11T03:49:33Z,2017-08-11T20:37:03Z,2017-08-11T06:57:54Z,2,2403,30,6419409,https://i1.sndcdn.com/artworks-000237846979-jv7i4f-large.jpg,https://soundcloud.com/media-roots/trumps-north-korea-obsession,"Trump's North Korea Obsession, Venezuela Propaganda, PNAC 3.0","Abby Martin and Robbie Martin talk about the latest news in America's dystopia: the Democratic Party backing anti-choice and GOP candidates, the Trump administration's genocidal threats and warmongering against North Korea, fierce media propaganda and threats of regime change against Venezuela and the 72nd anniversary of Hiroshima on Media Roots Radio.

Donate to Media Roots Radio on Patreon: 
www.patreon.com/mediarootsradio

Follow twitter.com/abbymartin & twitter.com/FluorescentGrey

www.MediaRoots.org"
335576314,2017-07-31T00:49:10Z,2017-08-11T20:10:14Z,2017-07-31T00:49:10Z,3,2916,24,4189989,https://i1.sndcdn.com/artworks-000235944171-5opryl-large.jpg,https://soundcloud.com/media-roots/erik-princes-afghan-mercs-interview-w-pearse-redmond-of-porkins-policy-radio,"Erik Prince's Afghan Mercs, Interview w/ Pearse Redmond of Porkins Policy Radio","Donate to Media Roots Radio on Patreon: 
www.patreon.com/mediarootsradio

Follow twitter.com/abbymartin & twitter.com/FluorescentGrey

www.MediaRoots.org"
333825329,2017-07-19T04:43:53Z,2017-07-27T11:05:39Z,2017-07-19T04:43:53Z,5,4901,48,5956501,https://i1.sndcdn.com/artworks-000234208269-pelyst-large.jpg,https://soundcloud.com/media-roots/donald-jr-in-hot-water-controlled-opposition-the-dnc-purge-of-the-left,"Donald Jr. in Hot Water, Controlled Opposition & DNC's Purge of the Left","Abby Martin and Robbie Martin discuss the latest headlines, including Trump ramping up the bombing of civilians, Donald Jr.'s ""Russian collusion"", the murder of Philando Castile, the outing of Reality Winner, the corporate media and democratic party's shift to the right and alt right grifters co-optation of the left on Media Roots Radio.

Donate to Media Roots Radio on Patreon: 
https://www.patreon.com/mediarootsradio

Follow twitter.com/abbymartin & twitter.com/FluorescentGrey

www.MediaRoots.org"
333670436,2017-07-18T04:21:20Z,2017-07-19T07:26:57Z,2017-07-18T04:21:20Z,3,2986,24,6586269,https://i1.sndcdn.com/artworks-000234055656-ot6myj-large.jpg,https://soundcloud.com/media-roots/national-security-cinema-interview-w-tom-secker-matthew-alford,National Security Cinema : Interview w/ Tom Secker & Matthew Alford,"Buy Paperback of National Security Cinema:
https://www.amazon.com/National-Security-Cinema-Government-Hollywood/dp/1548084980/ref=sr_1_1?ie=UTF8&qid=1500352078&sr=8-1&keywords=national+security+cinema

Please Donate to Media Roots Radio using Patreon: 
https://www.patreon.com/mediarootsradio

National Security Cinema: 
This is a book about secrecy, militarism, manipulation, and censorship at the heart of the world’s leading democracy—and about those who try to fight them. Using thousands of pages of documents acquired through the Freedom of Information Act National Security Cinema exclusively reveals that the national security state—led by the CIA and Pentagon—has worked on more than eight-hundred Hollywood films and over a thousand network television shows. The latest scholarship has underestimated the size of this operation, in part because the government has gone to considerable lengths to prevent data emerging, especially in the 21st Century, as the practice of government-Hollywood cooperation has escalated and become more aggressive. National Security Cinema reveals for the first time specific script changes made by the government for political reasons on dozens of blockbusting films and franchises like Transformers, Avatar, Meet the Parents, and The Terminator. These forces have suppressed important narratives about: CIA drug trafficking; illegal arms sales; military creation of bio-weapons; the interaction of private armies and oil companies; government treatment of minorities; torture; coups; assassinations, and the failure to prevent 9/11.

Dr. Matthew is a Teaching Fellow at the University of Bath in England. His doctoral thesis applied Ed Herman and Noam Chomsky’s Propaganda Model to the contemporary Hollywood film industry. His first book, Reel Power: Hollywood Cinema and American Supremacy, was published by Pluto Press in 2010 and has since been translated into Chinese. In 2014, Dr. Alford produced a documentary film of his research, The Writer with No Hands, which premiered at Hot Docs in Toronto and won the Tablet of Honor at the Ammar Popular Film Festival in Tehran.

Tom Secker is a private researcher who runs spyculture.com— the world’s premier online archive about government involvement in the entertainment industry. He has used the Freedom of Information Act to obtain unique government documents since 2010, which has been reported on by Russia Today, Salon, Techdirt, The Mirror, The Express and other outlets. He has authored and co-authored articles for Critical Sociology and the American Journal of Economics and Sociology and hosts the popular ClandesTime podcast."
327735419,2017-06-12T17:59:49Z,2017-06-27T20:09:47Z,2017-06-12T18:08:02Z,7,6608,70,6426359,https://i1.sndcdn.com/artworks-000228041947-mk27zq-large.jpg,https://soundcloud.com/media-roots/media-roots-radio-vz,Abby Goes to Venezuela,"Robbie Martin interviews Abby Martin about her recent trip to Venezuela, where she explains the reality on-the-ground, dissects the corporate media's propaganda campaign against the government and describes firsthand the fascistic, violent nature of opposition protesters carrying out daily barricades, known as ""guarimbas"". They also discuss the legacy of Hugo Chavez and why his brand of socialism poses such an enormous threat to the US Empire.

Please donate to Media Roots Radio on Patreon, we wouldn't be able to do this show without your support! www.patreon.com/mediarootsradio

FOLLOW: twitter.com/AbbyMartin & twitter.com/FluorescentGrey

www.MediaRoots.org"
326900008,2017-06-07T02:08:45Z,2017-06-23T04:05:09Z,2017-06-07T04:33:39Z,11,5960,65,8032882,https://i1.sndcdn.com/artworks-000227012420-pm9odq-large.jpg,https://soundcloud.com/media-roots/media-roots-radio-june-2017,"Trump in Saudi Arabia, Wikileaks Info War & Seth Rich","Robbie and Abby Martin discuss Trump's recent trip to Saudi Arabia to counter ""extremism"" and sell weapons, the Russia Gate scandal reaching an impeachment fever pitch, the alt-right's ""free speech"" trolling, Julian Assange and Wikileaks' role in the information war and breaking down the Seth Rich conspiracy theories on the latest Media Roots Radio.

Please donate to Media Roots Radio on Patreon, we wouldn't be able to do this show without your support! www.patreon.com/mediarootsradio

Follow twitter.com/abbymartin & twitter.com/FluorescentGrey 

www.MediaRoots.org"
319656982,2017-04-27T00:14:43Z,2017-05-30T22:10:19Z,2017-04-27T00:14:43Z,9,6594,44,5984378,https://i1.sndcdn.com/artworks-000220302454-2bvtxh-large.jpg,https://soundcloud.com/media-roots/trumps-neocon-transformation-free-speech-trolling,"Trump's Neocon Transformation, Dropping the MOAB & 'Free Speech' Trolling","Robbie and Abby Martin talk about Trump's neocon transformation into a Deep State lackey for the military industrial complex, his dropping of the MOAB in Afghanistan, loosening of the military rules of engagement, and the bipartisan media praise for his warmongering and provocations against North Korea, Syria and China. They also discuss the how alt right speakers and rallies are being hosted in the most hardcore leftist pockets of the country to instigate ""free speech"" martyrs.

Please donate to Media Roots Radio via Patreon, we wouldn't be able to do it without your support!  https://www.patreon.com/mediarootsradio

Follow twitter.com/abbymartin & twitter.com/FluorescentGrey 
www.MediaRoots.org"
318204134,2017-04-18T05:17:12Z,2017-05-24T13:23:38Z,2017-04-18T05:17:12Z,3,4414,35,4000087,https://i1.sndcdn.com/artworks-000218249168-5ztakt-large.jpg,https://soundcloud.com/media-roots/president-trump-flirts-with-world-war-iii-alt-media-propaganda-conduits,President Trump Flirts With World War III & Alt-Media Propaganda Conduits,
316377976,2017-04-06T11:49:32Z,2017-04-30T04:34:08Z,2017-04-06T11:49:32Z,9,6705,67,6761985,https://i1.sndcdn.com/artworks-000216582308-2285ru-large.jpg,https://soundcloud.com/media-roots/syria-red-line-deja-vu-trumps-reversal-youtube-censorship,"Syria Red Line Deja Vu, Trump's Reversal & Youtube Censorship","Robbie Martin and Abby Martin break down the new mainstream media push to oust Assad with military force in Syria, Trump's reversal on his Syria position and the general acquiescence towards war-drums beating for North Korea. They also talk about how Youtube and other private internet platforms known for alternative media and free speech are starting to censor and demonetize large swaths of independent content creators with no recourse whatsoever. 

Please donate to Media Roots Radio on Patreon:
www.patreon.com/mediarootsradio"
314127588,2017-03-23T18:29:36Z,2017-03-24T05:12:55Z,2017-03-23T19:02:22Z,6,5673,72,5569931,https://i1.sndcdn.com/artworks-000214344825-cuzuyq-large.jpg,https://soundcloud.com/media-roots/wikileaks-vault-7-cottage-industry-of-russian-conspiracies,Wikileaks Vault 7 & the Russian Conspiracy Industry,"Robbie Martin and Abby Martin break down the media hysteria over the Trump wiretapping claim and discuss the implications of Wikileaks' Vault 7 data dump about CIA targeted hacking and spying. They also talk about the media's Russophobia campaign and Robbie extensively dissects the actual facts and analysis behind the so-called ""Russian hacking"" allegations on Media Roots Radio.

Please donate to Media Roots Radio on Patreon:
https://www.patreon.com/mediarootsradio"
313560318,2017-03-21T05:13:36Z,2017-03-23T22:01:45Z,2017-03-21T05:13:36Z,5,4404,43,4751047,https://i1.sndcdn.com/artworks-000214344919-tglhgy-large.jpg,https://soundcloud.com/media-roots/trumps-brutal-foreign-policy-military-mindset,Trump's Brutal Foreign Policy & Military Mindset,"Abby and Robbie Martin talk about the significance of Trump's military budget increase of $54 billion, his ramping up of drone strikes and special ops, putting boots on the ground in Iraq and Syria and the danger of new wars in North Korea and Iran on Media Roots Radio.

Please support the Media Roots Radio podcast on Patreon by going to:
https://www.patreon.com/mediarootsradio

Thanks for your support!
Robbie & Abby 
@fluorescentgrey
@abbymartin
@mediarootsnews
@veryheavyagenda"
